iter	Passed	Remaining
0	0	53
1	1	57
2	1	53
3	2	48
4	2	46
5	2	45
6	3	44
7	3	43
8	4	43
9	4	42
10	5	41
11	6	44
12	6	43
13	6	42
14	7	41
15	7	41
16	8	40
17	8	39
18	9	38
19	9	38
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	13	32
30	14	32
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	28
37	17	28
38	17	27
39	18	27
40	18	26
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	26	17
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	10
78	36	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
